impactPosX,impactPosY,impactVelX,impactVelY,impactAngularVel,spinDirection,spinMagnitude,distanceToStumps,willHitStumps
5.412296,-3.266679,16.773380,-9.297385,761.985500,0,10.000000,2.601409,1
5.494766,-2.501791,18.374660,-8.386993,764.273900,0,10.000000,2.554293,1
5.427544,-2.740207,15.642530,5.626274,223.978400,0,10.000000,2.585541,1
5.315656,-2.462557,21.233890,-8.716728,-768.103100,1,10.000000,2.737617,1
5.608696,-2.928021,16.310090,5.720732,232.736900,0,10.000000,2.392388,1
5.731013,-2.049775,17.039150,5.173399,-1357.117000,1,10.000000,2.459924,0
5.557988,-3.062834,18.243760,6.375166,-1322.545000,1,10.000000,2.442820,1
5.909755,-2.949944,19.560240,-9.123967,-765.038200,1,10.000000,2.090844,1
5.691832,-2.129231,14.112840,4.516490,217.780300,0,10.000000,2.466957,0
5.707081,-2.208398,15.248100,4.854982,207.650600,0,10.000000,2.425718,0
5.879015,-2.016872,16.778640,4.887144,-1348.267000,1,10.000000,2.337759,0
5.580307,-2.871623,14.999580,5.651814,236.236400,0,10.000000,2.423096,1
5.782174,-3.003295,14.457070,5.724636,244.555400,0,10.000000,2.217829,1
5.544047,-2.572718,17.209160,5.779002,197.846200,0,10.000000,2.492844,1
5.857236,-2.931003,16.193430,5.664878,236.660800,0,10.000000,2.143874,1
5.818570,-2.296223,19.318500,6.003671,-1382.149000,1,10.000000,2.292147,0
5.634170,-2.959840,16.813370,5.734895,232.310800,0,10.000000,2.366171,1
5.852161,-1.945869,15.465220,4.479134,191.617100,0,10.000000,2.392573,0
5.683396,-1.999654,18.551330,5.619764,-1396.589000,1,10.000000,2.523360,0
6.155027,-2.664048,19.204610,5.839357,-1336.011000,1,10.000000,1.875310,1
6.035554,-2.096198,15.671400,4.752537,200.392500,0,10.000000,2.162384,0
6.123563,-2.175324,17.572670,5.232831,-1346.307000,1,10.000000,2.049660,0
6.041430,-2.761064,17.904690,5.796202,-1314.996000,1,10.000000,1.973090,1
6.111725,-3.319978,18.488970,6.255005,-1290.541000,1,10.000000,1.915194,1
5.972422,-2.625018,15.953690,5.164594,230.084900,0,10.000000,2.061962,1
5.981081,-3.180653,20.133300,6.376829,-1319.041000,1,10.000000,2.026985,1
